Date,Low,High,Volume,Close
5/5/2015,421.02,427.51,2856386,421.19
5/6/2015,414.55,422.7165,2552474,419.1
5/7/2015,422.85,428.5,2766132,426.88
5/8/2015,430.174,435.2,2908838,433.69
5/11/2015,431.37,439,2393737,432.85
5/12/2015,426.71,433.25,1947822,431.02
5/13/2015,425.8,433.528,1996328,426.87
5/14/2015,427.01,433,1888477,432.28
5/15/2015,424.3,430.3962,4240306,426
5/18/2015,421.46,427.27,2390229,425.24
5/19/2015,420.63,428.24,2465240,421.71
5/20/2015,418.36,427.1,2196159,423.86
5/21/2015,428,436.9,4121401,431.63
5/22/2015,427.61,432.44,2020629,427.63
5/26/2015,422,427,2244185,425.47
5/27/2015,425.01,431.85,2231088,431.42
5/28/2015,425.47,431.35,1912436,426.57
5/29/2015,427.23,432.5,3016060,429.23
6/1/2015,426.2,433.16,2253264,430.92
6/2/2015,426.25,433.23,1669845,430.99
6/3/2015,432.75,438.39,2727914,436.59
6/4/2015,429.26,436.755,2510761,430.78
6/5/2015,426.5,430.8,1907855,426.95
6/8/2015,421.425,426.8,2172525,423.5
6/9/2015,419.14,427.49,2288663,425.48
6/10/2015,425.66,432.2,2172333,430.77
6/11/2015,431.47,438.89,2922459,432.97
6/12/2015,428.26,432.36,2054385,429.92
6/15/2015,422.64,428.05,2050987,423.67
6/16/2015,422.67,427.97,2297469,427.26
6/17/2015,424.753,431.35,2185869,427.81
6/18/2015,429.405,439.73,3378360,439.39
6/19/2015,433.24,444.99,4495087,434.92
6/22/2015,434.18,439.24,1823572,436.29
6/23/2015,433.69,447.04,3245049,445.99
6/24/2015,440.23,446.47,2620827,440.84
6/25/2015,436.39,443.47,2237458,440.1
6/26/2015,435.06,443.49,2624479,438.1
6/29/2015,429,437,2753193,429.86
6/30/2015,430.46,435.57,2596873,434.09
7/1/2015,435.58,440,1987076,437.39
7/2/2015,433.48,438.2,1343397,437.71
7/6/2015,433.52,439.73,1903161,436.04
7/7/2015,425.57,437.73,3454248,436.72
7/8/2015,428.83,435.99,2383130,429.7
7/9/2015,434.15,438.72,2271395,434.39
7/10/2015,439,444.72,2400981,443.51
7/13/2015,447.54,457.87,3956802,455.57
7/14/2015,458.16,469.6,4736215,465.57
7/15/2015,460.2,464.7,2987399,461.19
7/16/2015,464.8,475.88,4095581,475.48
7/17/2015,477.25,485.42,4932176,483.01
7/20/2015,485.4,493.2,4752491,488.1
7/21/2015,482.55,488.88,3181831,488
7/22/2015,484.9,492.5,3114898,488.27
7/23/2015,475.7,491.66,9374431,482.18
7/24/2015,529.35,580.57,21909381,529.42
7/27/2015,526.6,544.95,7490960,531.41
7/28/2015,523.12,536.39,5273092,526.03
7/29/2015,525.02,532.9655,3752634,529
7/30/2015,524.29,539.2,3743065,536.76
7/31/2015,534.5201,542.84,3025598,536.15
8/3/2015,529.36,540.44,3014236,535.03
